title,year,rating,description,genres
#SGSG - Srinivasa Govindha Sri Venkatesha Govindha,2025,10.0,"A boy who ate chicken briyani which was considered as non vegetarian after he ate tirupathi laadu, which was known as devotional food, he ate that after eating non vegetarian, that causes some problems in his life, what he faced if he comes out from the problem or not.",
CreatorCraft,2025,10.0,the legendary live action movie where people cry and dragons die....,
Bank or Death: On the Edge of Rivalry,2025,10.0,"Santiago and Diego plan a heist against the Zimmerman Bank, but legendary mobster Alfredo Margharette and renowned drug dealer Franz Shitzenfartz are ready to put an end to the duo's plans.",
Mexican Standoff (ft. Key & Peele),2013,10.0,Two agents track down their target and get caught in an ever-escalating standoff in which allegiances are tested and true motivations are revealed.,
Esta no la puede oír mi jefita,2022,10.0,,
Tarea de Filosofía Sin Título,2022,10.0,,
Tetanus,2025,10.0,"A man is infected with tetanus, but refuses to accept the truth.",
The Philosophers' Football Match,,10.0,,
Spot #637,2025,10.0,,
THIS IS JUNKIEMONKIE,2025,10.0,A bad director and his cameraman stumble through a failing film project.,
Tom and Jerry: Chaos Chronicles,2025,10.0,"Jerry breaks glass of milk and he runs away with Tom to outside; Jerry throws dynamite to Tom then explodes, Tom goes to sleep he dreams about food such pizza cheeseburger chicken drumstick until about Spike bulldog and Spike beats Tom in Tom's dream, Tom wakes up to mocking Spike bulldog, Spike comes to Tom and he's angry then Spike beats Tom, Tom wants beat Meccano with punching and kicking but Meccano beats Tom, Jerry kills Meccano with dynamite, At the end Spike bulldog Chases Tom then Tom Chases Jerry",
Loki IRL,2025,10.0,"After numerous losses, aspiring artist Bianca and her living cartoon demon, Loki, are called out online. To prove they're not idiots they had to beat up an influencer.",
Welcome to Eltingville,2002,10.0,"The misadventures of four boys who are big fans of comic books, toys, trading cards, and science fiction.",
Mystery Inc.,2025,10.0,"When a string of murders begin to take place around the quaint town of Coolsville, four teenagers must come together and stop this sinister force, before it is too late.",
Watermelon of Death,2025,10.0,"Three friends sit down to enjoy a watermelon, but its taste is unlike anything they expected—strange, unsettling, almost wrong. Two of them stop, but one refuses to give up and keeps eating. His stubbornness leads to one devastating event, a single moment so terrible it changes everything. A chilling horror where one bite is enough to seal your fate.",
Archive of My Own,2025,10.0,"Missed it the first time? This is your encore.  Join us for the exclusive premiere screening of the recorded performance of Archive of My Own — the critically acclaimed comedy play by Annabel McConnachie, originally performed at the Hudson Guild Theater on July 24th, 26th, and 27th as part of the New York Theater Festival.  On August 5th, Archive of My Own proudly took home Best Production and Best Director (Zoé Zifer) at the NY Theater Festival Awards. Now, for the first time, experience the magic of this award-winning play on screen.  ABOUT THE SHOW: A coming-of-age story for the fanfic generation.‘Archive of My Own’ explores a young woman’s struggle to reconcile the steamy, highly choreographed love scenes from her fanfiction past with the jarringly messy and unpredictable world of real-life intimacy – through a series of her own authentic, verbatim Glee fanfiction excerpts.",
Soy de pueblo,,10.0,,
Town Owls,2025,10.0,Sam and Callum get lost on their way to film a wedding and end up having an existential crisis as they try and get back on track. Will they make it to the wedding in time?,
Delusion (Short Film),2020,10.0,"Delusion (Short Film)  In the bustling environment of a fine arts college, an introverted student tries to remain invisible, absorbed in his sketches. But when an arrogant classmate begins to intrude on his fragile space, irritation festers into an unexpected storm. Blurring the line between inner turmoil and outward reality, Delusion is a tense exploration of ego, silence, and the battles we fight within.",
Cain's Tears,1980,10.0,"The satirical short movie about traitors of Soviet Ukraine who mask their betray for ""wishing for Ukraine's independence"" through the history since 1918 up to modern times. Was considered lost, but was found in Latvian film fund in the year 2025.",
Everybody Hates Communication,2025,10.0,"Chris and his friends live ordinary days inside the Federal University of Paraná's Department of Social Communication — Professor Toni's class, lunch at the University Restaurant, photography practice in the studio... Until a terrifying discovery threatens Chris's permanency at the university. A reimagining of the classic ""Everybody Hates Chris,"" and filled with references from ""The Fresh Prince of Bel-Air"" to ""Mean Girls,"" this short film reflects on the experiences of black people within the university in a sharp and comical way.",
Street Man,2025,10.0,"Having been fired from the police force, Street Man and his buddy, Private Richard Rash, fight crime as vigilantes. Together they must defeat the crafty thief Robbin Walitz while also narrowly escaping the clutches of the hardened police chief Jack Mehoff.",
El mejor burdel de Teruel,2025,10.0,,
Le jour le plus chaud,2025,10.0,,
Sleep,2023,10.0,A short film made by three students who are trying to escape the reality.,
Evil Bookstore,2025,10.0,"When an innocent bookstore awakens a century-old evil, a world of terror rises. Dare you face the dead?",
Echec emouvant,2025,10.0,,
Vlog de l'année 2024-2025,2025,10.0,,
Lizzie,2020,10.0,An evil little girl's parents decide to take drastic measures into their own hands by hiring a local nanny to reform their daughter.,
"OH, DEER",2025,10.0,"When a couple's explosive argument is interrupted by a tragic accident, the night takes a turn they never saw coming.",
Ti Amo Quando Menti,2025,10.0,,
L'OUBLI : COURT MÉTRAGE EN 18 PLANS,2025,10.0,,
L'utile et l'agréable,,10.0,,
Sacred Bathing Stories,2023,10.0,"""Welcome to another ""Relatos da Vida do Nosso País"". Today, we have with us Mr. João Ezequiel, who will tell us about some events in his life.""",
Suicide Helpline,2023,10.0,"This short sketch shows us what a day in the life of Teotónio, a suicide hotline operator, is like.",
Me At The Beach: The Documentary,2022,10.0,"""Me At The Beach: The Documentary"" is a documentary, but I think everyone had already gotten to this point. However, it's not just a documentary, but the documentary that will definitively close this ""Silly Season 2022."" Here, we'll present the various beach phenomena that have been studied over the past month, and I won't say more to avoid spoilers!",
The Space Adventures: And the Search for Adventure,2025,10.0,"The year is 2020. The evil aliens, led by The Evil Lord Leader, his son Avengerson, and his right hand man The Blakester, have taken over the galaxy silently and discreetly. They have infiltrated all aspects of the government and police. A human resistance lead by Noah McKoolaid is the galaxy's only hope. Expert Human Resistance Soldiers and brothers, Landon and Evan Rhodus, are sent on an adventure to defeat the aliens once and for all. Teaming up with brothers Joey and Huck Wegierski, brothers Kyle and Mason Barnes, Noah's brother Eli McKoolaid, and Timothy Goebel, Landon and Evan battle their way through space, traverse the seas on a pirate ship, nearly escape capture in Las Vegas, and even TIME TRAVEL to defeat the evil aliens! Landon, Evan, and the rest of their rebel friends are the final hope the galaxy has at freedom!",
Gnome Hunting Found Footage,2025,10.0,"A trio of amateur documentarians venture into the mysterious Gnome Forest- a vast woodland clouded in myths and urban legends- and record their findings, vowing to show the world that Gnomes really do exist. The following is the bone chilling unedited footage of their documentary.  Will the three succeed in proving Gnomes’ existence or will they suffer a grizzly fate at the hand of the very creature they are trying to hunt…",
Les Cinéastes,2024,10.0,,
Hello?,2025,10.0,"He tries to live, to connect, to be part of the world, but every door he finds is always closed. No one sees him, no one listens to him. One day, he discovers the reason for his loneliness.",
Cold Hard Cash,2025,10.0,"Two incompetent robbers, two even less competent police officers. See how fate treats these criminal innovators in Cold Hard Cash.",
Slap Jack,2025,10.0,"In this thrilling short film ""Slap Jack,"" three boys embark on a perilous journey to save their friend from a fateful decision. Drew (Griffin Edge), Miles (Malachi Mack), and Neal (Cade McGuffee) discover that their friend Julian (Gavin McCullock) has run away with the intention of killing the drunk driver who caused his mother’s death years ago. Determined to prevent Julian from making an irreversible mistake, the trio sets off on a multiple-day trek to Carson Valley. Along the way, they uncover Julian’s meticulous plans and face numerous obstacles, testing their friendship and resolve. The climax of their journey leads to a dramatic confrontation that will change their lives forever.",
TOP-10 USERS OF SHIKIMORI (IRON!),2025,10.0,"A short experimental existential film dedicated to the study of the best users of the Shikimori-forum united by love for the anime ""Monster"" and ""Myshonok Pik"". Inspired by the works of Andrei Tarkovsky and filmed in the best traditions of flickers.",
Ufff Yeh Siyapaa,2025,10.0,"Kesari Lal Singh’s wife leaves him, believing he was flirting with the neighbor—he wasn’t. To make matters worse, a drug parcel is mistakenly delivered to his home, leading to chaos when a dead body turns up. As he tries to dispose of it, another body arrives, plunging him deeper into mayhem.",
Peace & Quiet,2025,10.0,"Bailey and Julian are a pair of ordinary twenty-something housemates: they’re sleep-deprived, stressed, and have a major ghost problem. While Julian attempts to deal with their unwelcome house-guest, Bailey finds that ignoring it entirely is the best coping mechanism. This inevitably crumbles when she comes face to face with her reality.",
Merry Christmas Doctor Who,1978,10.0,"The Doctor, Romana and K9 drink in the TARDIS in celebration of Christmas.",
Karakondzula,2018,10.0,"Two popular youtubers receive fanmail,but very soon they realize that this is not normal fanmail,it was sent by a psychopath.",
The Cotton Candiholic,2025,10.0,"This is a tale of a young former employee of the month, suffering with his cotton candiholism after his last shift at his job, to which he gave his all. Which begs the question, what happens now?",
Crystal Tears,,10.0,"In this mockumentary, we follow amateur documentary filmmaker and poodle aficionado Flávia on a journey in search of Cristal, a flamboyant poodle and former showbiz star who is trying to adjust to a new stage in her life.  Amid fond conversations about a glamorous past and simple strolls by the sea, Flávia captures with a keen eye the difficulties, anxieties, and small joys of a former star.",
Nothing we can do,2025,10.0,"When Meena, Dew, and Jane are abducted by a mysterious woman called Pin, who offers an opportunity to see a future, they have to find a way to escape by using the most human method of all: guessing",
No Money Down,2025,10.0,Chuck is down on his luck but hopes to make one last sale to save his skin. He just happens to knock on Everett's door at the worst possible time.,
The School of Rock: Who Am I,2025,10.0,"A spirited high school girl goes through a self-discovery journey, while writing an admission letter.  This short film won the 2025 TIFF Next Wave 48-Hour Film Challenge.",
Sasha Dolgopolov: Pressure Makes Diamonds,2025,10.0,"Sasha Dolgopolov's second stand-up special in English, filmed in Berlin",
Forbidden Fruit,2023,10.0,"After a failed heist, thieves Van Buren and Roosevelt journey through a rustbelt town's criminal underbelly in an attempt to save their lives and their relationship.",
Backstabbed,2025,10.0,Three musicians are hired to produce the soundtrack for a famous director's next film.,
Attempted Murder,2025,10.0,"When a socially awkward teen, Daniel, discovers the identity of the infamous “Jack-O’-Lantern Killer,” he sees a dark path to fulfilling his deepest desires. Mentored by the killer himself, Daniel aims to carry on the gruesome legacy, but his own ineptitude threatens to derail all of his hopes and dreams.",
Ross Ryler,2025,10.0,"Ross Ryler is a few weeks away from becoming a deputy under the honorable sheriff Liam Colson, but when his predecessor is viciously killed and left in the woods, all eyes turn to Ross. Fleeing town to avoid wrongful arrest, Ross must figure out how to survive and clear his name.",
Hold On,,10.0,,
I'm Staying Alive,2024,10.0,"A short film that covers one episode of “Zoranova pošta”podcast. When Zoran, the host, welcomes a new guest, the conversation takes an unexpected turn.",
Heds 2,2011,10.0,Red and Ted find discover the beauty and danger of cloud thoughts.,
Defectives,2025,10.0,"After being discarded by their owner, two AI robots embark on a journey to reunite with them. However, as they begin to experience their newfound freedom, they start to question the true purpose of their digital lives.",
Innermost Heart,2024,10.0,"What happens when two eccentric individuals—a grandfather and his grandson—are forced to spend an entire weekend together? Based on stories and screenplay written by Olivér Gömbös, a young creator on the autism spectrum. For many years, Olivér has been expressing himself and his view of the world through unique film narratives. With a talented creative team and outstanding actors, director Tamás Németh Pákolicz has helped bring Olivér’s greatest cinematic dream to life.",
Sticky,,10.0,"Set against the backdrop of the relentless pursuit of stardom in Tinseltown, ‘Sticky’ delves deep into the lives of three intertwined souls, each grappling with their own demons amidst the whirlwind of love, manipulation, and the chilling realization that in Hollywood, the line between obsession and rejection is dangerously thin.",
Slow Ass Night,2025,10.0,"When a bored worker looks for something to do on his fruitless shift, he finds something that adds a kick to the SLOW ASS NIGHT.",
The Ballad of Cory Ligouri,2025,10.0,"Cory Liguori (a money obsessed young man) has luck with Jimmy Blackbeards pirate coin and suddenly becomes extremely wealthy. In the process of gaining all this wealth, Cory ignores and thus enraging Ian (Cory's best friend) pushing him to his breaking point...",
NOSFREAKATU,2025,10.0,,
Paper Airplane,2025,10.0,Two high schoolers scared of their future create a magical paper airplane.,
Die Die Again,2025,10.0,"After a man dies in an incredibly stupid way, he refuses to enter heaven until he can go back and die in a cooler way.",
Открытие,2025,10.0,"Five aspiring directors, five short stories about the discovery of cinema. Each short story is an independent story exploring how cinema begins, how it influences us and where the line between the screen and reality lies. The film almanac has the widest range of genres, themes, geography of authors, time of action and even frame format. It can be a short sketch from the set, where the lighting technician suddenly changes places and importance with the most influential auteur director; preparation for the first film screening in Rus'; a conversation between friends immediately after the film; a story of a difficult choice between creative freedom and a career; and finally, a free interpretation of the 1986 film about the life of a simple fisherman from Kaliningrad.",
The Condom Fairy,2025,10.0,"An overworked Condom Fairy makes sure college hookups are keeping it wrapped up, all the while his love life is unraveling.",
【3D DEBUT】GIIII~MURIN! × 3D Gigi Murin desu #GIGI3D,2025,10.0,"The debut 3D stream from Hololive English talent Gigi Murin, featuring comedy, music, and plenty more! Originally streamed on Youtube on August 2nd, 2025",
Buddies,2020,10.0,A story of a cube that meets another cube.,
ILLVILLE,2024,10.0,"While law enforcement works overtime to cure Illville’s drug problem, Officer Jimmy Lynch kills a teenage boy. Unbeknownst to Jimmy, the boy is the nephew of the notorious drug lord, Slim.",
GOUNOD,2025,10.0,"A misfit high school girl Iona gets invited to slumber party. Only when she arrives, something isn't right. An unexpected night unfolds all under the gaze of Gounod.",
Another Fine Myth (Fan Film),,10.0,"A solo-created fan film adaptation of Robert Asprin’s Another Fine Myth, bringing the beloved fantasy-comedy novel to life with original visuals, voice-over, and music. Inspired by the iconic cover art by Fangorn, this non-commercial project captures the spirit, humor, and magic of the source material through a personal, independent lens.  Currently releasing in storyboard-based chapters, approximately 15 minutes each",
Clausible Deniability,2024,10.0,"Santa Claus has been murdered. It is up to the crack-team of detectives Sylvester Slydewisel and Eliza Eggnog to solve the case that leads them to mysterious suspects, late-stage capitalism, and their own inner demons.",
The Subtleties of Desire,2025,10.0,"A young man, down on his luck, finds a mysterious bottle. The contents of which can grant him anything he desires.",
Bloody Sundae,2009,10.0,"A vampire fan-girl, lost in the woods and searching for a Dairy Queen, stumbles across a cannibal whom she excitedly mistakes for a vampire. Flabbergasted, the cannibal decides to play along with the fan-girl's delusions by claiming he is a vampire and inviting her to his cabin, where he plans on killing and eating her. The fan-girl, none the wiser, excitedly accepts.",
ED & LUCY,2025,10.0,A porcelain doll and an egg with legs host a program in which they talk about aliens.,
The Raisin Chronicles: Part 2,2025,10.0,Samuel wants his raisins. He'll do anything to get them back.,
A Flash in The Pan,2025,10.0,"Curt Connerstone recreates his favorite movie scenes with his friends for fun. After posting them online, he very quickly blasts to superstardom. Now, the world is begging him to make an original film.",
Slouching Towards Branson,2025,10.0,"The film version of the theatrical performance ""Slouching Towards Branson,"" shot at concerts during the 2024 ""Slouching Towards Bethlehem Tour."" Written and performed by Will Wood, shot & edited by Jake Feldman.",
35 страница,2025,10.0,"34-year-old Moscow writer Igor Angelevskiy for the third time failed to win Russia's main literary prize. After the award ceremony, the hero's wallet is stolen, which contains the only memory of his mother. Hearing the news about the theft, 20-year-old pickpocket Aldar decides to read Angelevskiy's books and is so fascinated by them that he becomes Igor's student. The writer sees in the young man a brilliant storyteller with rich life experience. After a while, Angelevskiy and Aldar become friends.",
Welcome to Class 6,2019,10.0,,
The Dead Dog,2025,10.0,"With the help of their best friend, a pair of siblings hold a memorial service for their dog who just died.",
Anniversary,2022,10.0,A middle-aged woman and her best friend rush to make her over for the anniversary dinner she’s sure her husband is surprising her with.,
A fully furnished house is always easier to deal with... right?,2025,10.0,An accountant buys a house and becomes obsessed with purchasing the perfect boat.,
Madre Draco,2018,10.0,"Markarth is shaken awake by a strange sight: a colossal dragon calmly seated in the middle of the town square. Initially assumed to be a threat, the townsfolk panic and report it to King Erik. In response, he dispatches the kingdom’s finest — Dragon Slayer Xander — to eliminate the creature.  But things aren’t as simple as they seem. As Xander prepares to strike, the mother dragon’s children emerge from hiding, revealing that this wasn’t an invasion — it was a family seeking refuge. Before anyone can act further, the town is suddenly stormed by aliens, throwing the entire narrative off course.",
Howler,2017,10.0,"In the foggy town of Hemlock Springs, a string of animalistic killings has left the townspeople terrified. Caroline (Alvin Soprano), a sarcastic high school senior with a love for B-movies, starts to suspect something supernatural when her classmate Donnie (Victorius Kingston) begins acting extra weird… even for a teenage boy.",
L'important c'est d'y croire,2025,10.0,,
再见，坏蛋,2025,10.0,,
The Redeemables Part 2,2025,10.0,A true events squatter comedy that focuses on New York City's landlord tenant laws. When his love interest invites suspicious people to move into his house a young man seeks out ways to evict them which includes hiring want-to-be mobsters,
Victoria Beckham: Coming to America,2007,10.0,An insider's look at the life of former Spice Girl Victoria Beckham and her world famous footballer husband David Beckham as they move their family from England to Southern California.,
